ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
303;Her Sey Ask Için;7.428;12.304;828875;1296083;7,7;2;October;114;184
304;Killers of the Flower Moon;20.923;81.815;2906943;10859221;7,6;11;October;206;151
305;Sercenin Gozyası;2.443;8.903;265517;767220;5,8;4;October;117;122
306;The Book of Solutions;332;1.187;39025;114340;6,1;4;October;102;18
307;Cok Ask;79.828;380.433;8969632;40596415;3,9;8;October;101;320
308;Son Aksam Yemegi;23.606;74.806;2668291;6328600;6,6;22;October;119;222
309;Mavka: The Forest Song;13.767;48.395;1522346;4931717;6,6;19;October;87;205
310;Oyun Bitti;1.074;2.010;115797;202741;3,9;2;October;98;112
311;Manta Manta: Legacy;389;644;39735;63607;3,5;1;October;127;54
312;The Boy and the Heron;8.838;62.563;1040675;6875573;7,4;39;October;124;32
313;Sır Seytanın Kurbanları;157;231;13885;18255;3,8;1;October;104;20
314;Ataturk 1881 - 1919 (1. Film);269.113;1.626.527;32587375;178508429;8,8;38;November;132;338
315;Zir-i Cin 2;11.030;31.036;1143191;3077713;4,7;4;November;93;172
316;Five Nights at Freddy's;57.928;216.819;6953289;24705847;5,4;8;November;114;107
317;Taylor Swift: The Eras Tour;15.137;22.998;3413858;5057785;8;3;November;168;100
318;Wesh X Wesh, Face to Face;880;1.706;104150;199015;7,4;2;November;123;25
319;Anatomy of a Fall;1.682;32.827;208275;4203481;7,7;43;November;150;15
320;Aslan Hürkus 3: Anka Adası;82.568;554.325;8469416;53049853;6;47;November;90;336
321;The Marvels;45.476;157.878;5691717;17938058;5,5;5;November;105;274
322;Trolls Band Together;31.148;173.345;3746642;19122366;6;7;November;91;208
323;Vatikan'ın Sifresi: Bir Temel Macerası;5.522;14.281;620832;1470868;3,3;5;November;88;110
324;Seni Goruyorum;390;715;49123;83241;3,8;1;November;123;22
325;Meksika Acmazı;23.834;43.725;2892767;5113083;5,7;4;November;91;277
326;The Hunger Games: The Ballad of Songbirds and Snakes;60.122;203.772;7891751;25262656;6,7;9;November;157;276
327;Alya;1.049;1.857;121369;202102;8,8;2;November;115;72
328;Cin Gelini;1.742;3.483;183102;331227;7,2;7;November;93;37
329;Birkac Mısraymıs Meger;175;260;19585;28370;NA;1;November;73;13
330;Aybuke: Ogretmen Oldum Ben;32.963;226.558;3385017;16490895;8;18;November;97;273
331;Napoleon;79.845;227.734;11672687;31304123;6,3;9;November;158;268
332;Masha and the Bear: Twice the Fun;24.364;72.811;2864826;7620853;6,5;18;November;75;235
333;Zina;4.596;7.823;561066;868557;3,8;4;November;75;79
334;Roter Himmel;918;2.965;110525;343225;7,1;4;November;102;20
335;Olumlu Dunya 2;401.240;1.656.485;54129290;214731635;6,8;23;December;116;333
336;Nasreddin Hoca 2: Dinozorlar Cagi;58.765;270.816;6291253;26350179;5,9;25;December;76;277
337;Wish;34.479;103.188;4321068;12353856;5,6;6;December;92;229
338;Thanksgiving;11.848;31.575;1555798;3900013;6,2;4;December;106;121
339;Evil Does Not Exist;573;1.915;68085;190522;7;5;December;106;17
340;Murat Gogebakan: Kalbim Yaralı;72.080;352.942;8261858;38553092;6,1;20;December;122;323
341;Haile 2: Var mı, Yok mu?!;25.990;65.520;3076564;7433377;4,2;4;December;86;223
342;Silent Night;2.430;4.206;311340;500191;5,3;3;December;104;85
343;Jeanne du Barry;1.982;1.982;309200;751382;6,7;9;December;117;30
344;Backstage Wiener Staatsoper;73;152;13760;24750;6,8;1;December;94;15
345;Nefes - Yer Eksi İki;109.565;510.659;13377546;57627303;6,2;30;December;123;305
